name,country_code,latitude,longitude,population
Natore,BD,24.41112,88.98673,369138
Patuakhali,BD,22.36833,90.3458,65000
Dhanmondi,BD,23.74,90.385,54210
Pallabi,BD,23.825,90.37,597574
Azimpur,BD,23.7298,90.3854,96641
Karnaphuli,BD,22.69056,92.23472,203697
Paltan,BD,23.73625,90.41426,184492
Mirpur Model Thana,BD,23.80931,90.36093,546503
Woluwe-Saint-Lambert,BE,50.84389,4.42912,56584
Verviers,BE,50.58907,5.86241,52824
Uccle,BE,50.80225,4.33943,82929
Tournai,BE,50.60715,3.38932,69554
Sint-Niklaas,BE,51.16509,4.1437,69010
Seraing,BE,50.58362,5.50115,60737
Schaerbeek,BE,50.86935,4.37737,132761
Saint-Gilles,BE,50.82763,4.34389,50221
Roeselare,BE,50.94653,3.12269,56016
Ostend,BE,51.21551,2.927,69011
Namur,BE,50.4669,4.86746,110939
Mouscron,BE,50.74497,3.20639,52069
Mons,BE,50.45413,3.95229,95299
Molenbeek-Saint-Jean,BE,50.8499,4.31248,97037
Mechelen,BE,51.02574,4.47762,77530
Liège,BE,50.63373,5.56749,195278
Leuven,BE,50.87959,4.70093,101032
La Louvière,BE,50.48657,4.18785,76668
Kortrijk,BE,50.82803,3.26487,73879
Jette,BE,50.87309,4.33419,52490
Ixelles,BE,50.83333,4.36667,86671
Hasselt,BE,50.93106,5.33781,77651
Gent,BE,51.05,3.71667,265086
Genk,BE,50.965,5.50082,63666
Forest,BE,50.81678,4.32775,56254
Deurne,BE,51.22134,4.46595,78747
Charleroi,BE,50.41136,4.44448,200132
Brugge,BE,51.20892,3.22424,118509
Antwerpen,BE,51.22047,4.40026,529247
Anderlecht,BE,50.83619,4.31454,160553
Aalst,BE,50.93604,4.0355,77534
Tenkodogo,BF,11.78,-0.36972,61936
Saaba,BF,12.37136,-1.41468,136011
Pouytenga,BF,12.25162,-0.42565,96469
Ouahigouya,BF,13.58278,-2.42158,124587
Nioko I,BF,12.39501,-1.43861,65263
Léo,BF,11.10033,-2.10654,51743
Koudougou,BF,12.25263,-2.36272,160239
Kongoussi,BF,13.32583,-1.53472,53627
Kaya,BF,13.09167,-1.08444,121970
Houndé,BF,11.5,-3.51667,87151
Fada N'gourma,BF,12.06157,0.35843,73200
Djibo,BF,14.0994,-1.62554,61462
Dédougou,BF,12.46338,-3.46075,63617
Bobo-Dioulasso,BF,11.17715,-4.2979,904920
Banfora,BF,10.63333,-4.76667,117452
Yambol,BG,42.48333,26.5,63656
Vratsa,BG,43.21,23.5625,64941
Veliko Tŭrnovo,BG,43.08124,25.62904,66217
Varna,BG,43.21667,27.91667,312770
Dobrich,BG,43.56667,27.83333,79269
Stara Zagora,BG,42.43278,25.64194,143431
Sliven,BG,42.68583,26.32917,83740
Shumen,BG,43.27064,26.92286,72342
Ruse,BG,43.84872,25.9534,143417
Plovdiv,BG,42.15,24.75,346893
Pleven,BG,43.41667,24.61667,100952
Pernik,BG,42.6,23.03333,82467
Pazardzhik,BG,42.2,24.33333,65671
Kardzhali,BG,41.65,25.36667,51000
Haskovo,BG,41.93415,25.55557,67086
Gabrovo,BG,42.87472,25.33417,66175
Burgas,BG,42.50606,27.46781,195966
Blagoevgrad,BG,42.01667,23.1,67810
Asenovgrad,BG,42.01667,24.86667,54778
Madīnat Ḩamad,BH,26.11528,50.50694,52718
Dār Kulayb,BH,26.06861,50.50389,65466
Al Muharraq,BH,26.25722,50.61194,97458
Manama,BH,26.22787,50.58565,147074
Ar Rifā‘,BH,26.13,50.555,195606
Rumonge,BI,-3.9736,29.4386,55599
Bujumbura,BI,-3.38193,29.36142,769317
Gitega,BI,-3.42708,29.92463,64904
Ngozi,BI,-2.9075,29.8306,61716
Porto-Novo,BJ,6.49646,2.60359,264320
Parakou,BJ,9.33716,2.63031,255478
Nikki,BJ,9.94009,3.21075,66109
Natitingou,BJ,10.30416,1.37962,53284
Malanville,BJ,11.86819,3.38327,64639
Kérou,BJ,10.82578,2.10479,54276
Kandi,BJ,11.13417,2.93861,56043
Godomè,BJ,6.38948,2.34581,253262
Ekpé,BJ,6.39209,2.53725,75313
Djougou,BJ,9.70853,1.66598,94773
Cotonou,BJ,6.36536,2.41833,679012
Bohicon,BJ,7.17826,2.0667,93744
Abomey-Calavi,BJ,6.44852,2.35566,385755
Abomey,BJ,7.18286,1.99119,117824
Bandar Seri Begawan,BN,4.89035,114.94006,64409
Yacuiba,BO,-22.01643,-63.67753,82803
Vinto,BO,-17.39141,-66.31681,58739
Viacha,BO,-16.65,-68.3,86218
Trinidad,BO,-14.83223,-64.90335,84259
Tiquipaya,BO,-17.33801,-66.21579,62675
Tarija,BO,-21.53549,-64.72956,159269
Sucre,BO,-19.03332,-65.26274,224838
Sacaba,BO,-17.39799,-66.03825,180726
Riberalta,BO,-11.01026,-66.05257,99070
Quillacollo,BO,-17.39228,-66.27838,172405
Potosí,BO,-19.58361,-65.75306,141251
Oruro,BO,-17.97153,-67.0932,208684
Montero,BO,-17.33874,-63.25093,88616
Colcapirhua,BO,-17.3857,-66.23814,52732
Cochabamba,BO,-17.38195,-66.15995,841276
Vitória de Santo Antão,BR,-8.11806,-35.29139,134084
Viseu,BR,-1.19667,-46.14,58692
Vigia,BR,-0.85833,-48.14167,50832
Viçosa do Ceará,BR,-3.56222,-41.09222,59712
Viana,BR,-3.22028,-45.00361,51442
União dos Palmares,BR,-9.16278,-36.03194,60874
Tutóia,BR,-2.76194,-42.27444,53356
Tucuruí,BR,-3.76585,-49.67923,91306
Trairi,BR,-3.27778,-39.26889,58415
Tomé-Açu,BR,-2.41889,-48.15222,67585
Timon,BR,-5.09417,-42.83667,174465
Tianguá,BR,-3.73222,-40.99167,81506
Teresina,BR,-5.08917,-42.80194,871126
Tauá,BR,-6.00306,-40.29278,61227
Surubim,BR,-7.83306,-35.75472,64120
Sousa,BR,-6.75917,-38.22806,67259
Sobral,BR,-3.68611,-40.34972,203023
Serra Talhada,BR,-7.99194,-38.29833,86915
Sapé,BR,-7.09639,-35.23278,51306
São Miguel dos Campos,BR,-9.78111,-36.09361,53391
São Miguel do Guamá,BR,-1.62667,-47.48333,52894
São Luís,BR,-2.52972,-44.30278,917237
São Lourenço da Mata,BR,-8.00222,-35.01833,111249
São José de Ribamar,BR,-2.55572,-44.05992,244579
São Gonçalo do Amarante,BR,-5.79333,-35.32944,115838
São Gonçalo do Amarante,BR,-3.60722,-38.96833,54143
São Félix do Xingu,BR,-6.64472,-51.995,65418
Santa Rita,BR,-7.11389,-34.97806,149910
Santarém,BR,-2.44306,-54.70833,189047
Santa Isabel do Pará,BR,-1.29861,-48.16056,73019
Santa Inês,BR,-3.66667,-45.38,85014
Santa Cruz do Capibaribe,BR,-7.9575,-36.20472,98254
Salgueiro,BR,-8.07417,-39.11917,62372
Russas,BR,-4.94028,-37.97583,72928
Rio Largo,BR,-9.47833,-35.85333,97435
Quixeramobim,BR,-5.19917,-39.29278,82177
Quixadá,BR,-4.97139,-39.01528,84168
Santana,BR,-0.03816,-51.17476,107618
Portel,BR,-1.93556,-50.82111,62503
Piripiri,BR,-4.27333,-41.77694,65538
Pinheiro,BR,-2.52139,-45.0825,84621
Picos,BR,-7.07694,-41.46694,83090
Petrolina,BR,-9.39861,-40.50083,386791
Pesqueira,BR,-8.35778,-36.69639,62722
Paulo Afonso,BR,-9.40611,-38.21472,112870
Paulista,BR,-7.94083,-34.87306,342167
Paudalho,BR,-7.89667,-35.17972,56665
Patos,BR,-7.02444,-37.28,92575
Parnamirim,BR,-5.91556,-35.26278,267036
Parnaíba,BR,-2.90472,-41.77667,138008
Parintins,BR,-2.62833,-56.73583,101956
Paragominas,BR,-2.99565,-47.35488,105550
Palmares,BR,-8.68333,-35.59167,54584
Pacatuba,BR,-3.98417,-38.62028,81524
Pacajus,BR,-4.1725,-38.46056,70983
Ouricuri,BR,-7.8825,-40.08167,65245
Oriximiná,BR,-1.76556,-55.86611,68294
Olinda,BR,-8.00889,-34.85528,366754
Óbidos,BR,-1.9175,-55.51806,52306
Natal,BR,-5.795,-35.20944,896708
Moreno,BR,-8.11861,-35.09222,55292
Morada Nova,BR,-5.10667,-38.3725,61443
Monte Alegre,BR,-2.00082,-54.08102,60012
Moju,BR,-1.88389,-48.76889,84094
Mossoró,BR,-5.1875,-37.34417,264577
Maués,BR,-3.38361,-57.71861,65714
Marechal Deodoro,BR,-9.71028,-35.895,62341
Maranguape,BR,-3.89083,-38.68556,105093
Maracanaú,BR,-3.87667,-38.62556,234509
Marabá,BR,-5.38146,-49.13232,145860
Macapá,BR,0.03889,-51.06639,512902
Macaíba,BR,-5.85833,-35.35389,82249
Limoeiro do Norte,BR,-5.14556,-38.09806,59560
Limoeiro,BR,-7.87472,-35.45028,56510
Juruti,BR,-2.15222,-56.09222,50881
Juazeiro do Norte,BR,-7.21306,-39.31528,225230
Juazeiro,BR,-9.41167,-40.49861,237821
João Pessoa,BR,-7.115,-34.86306,817511
Jaboatão,BR,-8.18028,-35.00139,702621
Itacoatiara,BR,-3.14306,-58.44417,112520
Itapipoca,BR,-3.49444,-39.57861,131123
Itapecuru Mirim,BR,-3.3925,-44.35861,60440
Itaituba,BR,-4.27611,-55.98361,123314
Itaitinga,BR,-3.96944,-38.52806,64650
Ipojuca,BR,-8.39889,-35.06389,105638
Imperatriz,BR,-5.52639,-47.49167,218106
Iguatu,BR,-6.35944,-39.29861,98064
Igarapé Miri,BR,-1.975,-48.95972,64831
Igarassu,BR,-7.83417,-34.90639,122312
Icó,BR,-6.40111,-38.86222,62642
Horizonte,BR,-4.09802,-38.486,70983
Guarabira,BR,-6.85472,-35.49,57484
Gravatá,BR,-8.20111,-35.56472,91887
Granja,BR,-3.12028,-40.82611,53344
Grajaú,BR,-5.81944,-46.13861,73872
Goiana,BR,-7.56056,-35.0025,85160
Garanhuns,BR,-8.88202,-36.50216,151064
Floriano,BR,-6.76694,-43.0225,62036
Eusébio,BR,-3.89,-38.45056,74170
Extremoz,BR,-5.70556,-35.30722,61635
Escada,BR,-8.35917,-35.22361,62252
Delmiro Gouveia,BR,-9.38861,-37.99917,52809
Crato,BR,-7.23417,-39.40944,131050
Crateús,BR,-5.17775,-40.66949,76390
Coroatá,BR,-4.13,-44.12417,61351
Codó,BR,-4.45528,-43.88556,114275
Chapadinha,BR,-3.74167,-43.36028,81386
Ceará-Mirim,BR,-5.63444,-35.42556,79115
Caxias,BR,-4.85889,-43.35611,156973
Caucaia,BR,-3.73611,-38.65306,355679
Castanhal,BR,-1.29389,-47.92639,192256
Cascavel,BR,-4.13306,-38.24194,72720
Casa Nova,BR,-9.17419,-40.97514,72086
Caruaru,BR,-8.28333,-35.97611,402290
Carpina,BR,-7.85083,-35.25472,83205
Capitão Poço,BR,-1.74639,-47.05944,56506
Capanema,BR,-1.19583,-47.18083,70394
Canindé,BR,-4.35889,-39.31167,74174
Campina Grande,BR,-7.23056,-35.88111,348936
Camocim,BR,-2.90222,-40.84111,62326
Cametá,BR,-2.24444,-49.49583,134184
Camaragibe,BR,-8.02167,-34.98111,155771
Cajazeiras,BR,-6.89028,-38.55528,63239
